Measure Name,Year,Period,Value
Number of Personal Bankruptcies (Ontario),2016,Mar,1642
Number of Personal Bankruptcies (Ontario),2016,Apr,1624
Number of Personal Bankruptcies (Ontario),2016,May,1598
Number of Personal Bankruptcies (Ontario),2016,Jun,1543
Number of Personal Bankruptcies (Ontario),2016,Jul,1258
Number of Personal Bankruptcies (Ontario),2016,Aug,1329
Number of Personal Bankruptcies (Ontario),2016,Sep,1424
Number of Personal Bankruptcies (Ontario),2016,Oct,1380
Number of Personal Bankruptcies (Ontario),2016,Nov,1493
Number of Personal Bankruptcies (Ontario),2016,Dec,1154
Number of Personal Bankruptcies (Ontario),2017,Jan,1066
Number of Personal Bankruptcies (Ontario),2017,Feb,1167
Number of Personal Bankruptcies (Ontario),2017,Mar,1541
Number of Personal Bankruptcies (Ontario),2017,Apr,1355
Number of Personal Bankruptcies (Ontario),2017,May,1501
Number of Personal Bankruptcies (Ontario),2017,Jun,1363
Number of Personal Bankruptcies (Ontario),2017,Jul,1120
Number of Personal Bankruptcies (Ontario),2017,Aug,1212
Number of Personal Bankruptcies (Ontario),2017,Sep,1294
Number of Personal Bankruptcies (Ontario),2017,Oct,1326
Number of Personal Bankruptcies (Ontario),2017,Nov,1261
Number of Personal Bankruptcies (Ontario),2017,Dec,1133
Number of Personal Bankruptcies (Ontario),2018,Jan,992
Number of Personal Bankruptcies (Ontario),2018,Feb,1098
Number of Personal Bankruptcies (Ontario),2018,Mar,1368
Number of Personal Bankruptcies (Ontario),2018,Apr,1338
Number of Personal Bankruptcies (Ontario),2018,May,1422
Number of Personal Bankruptcies (Ontario),2018,Jun,1265
Number of Personal Bankruptcies (Ontario),2018,Jul,1222
Number of Personal Bankruptcies (Ontario),2018,Aug,1202
Number of Personal Bankruptcies (Ontario),2018,Sep,1166
Number of Personal Bankruptcies (Ontario),2018,Oct,1292
Number of Personal Bankruptcies (Ontario),2018,Nov,1212
Number of Personal Bankruptcies (Ontario),2018,Dec,1083
Number of Personal Bankruptcies (Ontario),2019,Jan,1004
Number of Personal Bankruptcies (Ontario),2019,Feb,1026
Number of Personal Bankruptcies (Ontario),2019,Mar,1234
Number of Personal Bankruptcies (Ontario),2019,Apr,1287
Number of Personal Bankruptcies (Ontario),2019,May,1456
Number of Personal Bankruptcies (Ontario),2019,Jun,1220
Number of Personal Bankruptcies (Ontario),2019,Jul,1255
Number of Personal Bankruptcies (Ontario),2019,Aug,1227
Number of Personal Bankruptcies (Ontario),2019,Sep,1256
Number of Personal Bankruptcies (Ontario),2019,Oct,1308
Number of Personal Bankruptcies (Ontario),2019,Nov,1158
Number of Personal Bankruptcies (Ontario),2019,Dec,1146
Number of Personal Bankruptcies (Ontario),2020,Jan,1063
Number of Personal Bankruptcies (Ontario),2020,Feb,1011
Number of Personal Bankruptcies (Ontario),2020,Mar,1061
Number of Personal Bankruptcies (Ontario),2020,Apr,637
Number of Personal Bankruptcies (Ontario),2020,May,592
Number of Personal Bankruptcies (Ontario),2020,Jun,654
Number of Personal Bankruptcies (Ontario),2020,Jul,643
Number of Personal Bankruptcies (Ontario),2020,Aug,644
Number of Personal Bankruptcies (Ontario),2020,Sep,693
Number of Personal Bankruptcies (Ontario),2020,Oct,681
Number of Personal Bankruptcies (Ontario),2020,Nov,747
Number of Personal Bankruptcies (Ontario),2020,Dec,787
Number of Personal Bankruptcies (Ontario),2021,Jan,549
Number of Personal Bankruptcies (Ontario),2021,Feb,616
Number of Personal Bankruptcies (Ontario),2021,Mar,757
Number of Personal Bankruptcies (Ontario),2021,Apr,742
Number of Personal Bankruptcies (Ontario),2021,May,658
Number of Personal Bankruptcies (Ontario),2021,Jun,685
Employment Rate (Toronto Residents),2007,Jan,0.6042
Employment Rate (Toronto Residents),2007,Feb,0.6092
Employment Rate (Toronto Residents),2007,Mar,0.6073
Employment Rate (Toronto Residents),2007,Apr,0.603
Employment Rate (Toronto Residents),2007,May,0.6018
Employment Rate (Toronto Residents),2007,Jun,0.6034
Employment Rate (Toronto Residents),2007,Jul,0.6027
Employment Rate (Toronto Residents),2007,Aug,0.604
Employment Rate (Toronto Residents),2007,Sep,0.6013
Employment Rate (Toronto Residents),2007,Oct,0.6027
Employment Rate (Toronto Residents),2007,Nov,0.602
Employment Rate (Toronto Residents),2007,Dec,0.6043
Employment Rate (Toronto Residents),2008,Jan,0.6061
Employment Rate (Toronto Residents),2008,Feb,0.6095
Employment Rate (Toronto Residents),2008,Mar,0.6136
Employment Rate (Toronto Residents),2008,Apr,0.6182
