"Average weekly earnings by industry, monthly, unadjusted for seasonality 1 2 3 4 5"
"Frequency: Monthly"
"Table: 14-10-0203-01 (formerly CANSIM 281-0026)"
"Release date: 2021-09-28"
"Geography: Canada, Province or territory"
""
""

,"Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"All employees 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Including overtime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 5","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021"
,"Current dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industrial aggregate excluding unclassified businesses  [11-91N] 7 8","1,028.97A","1,038.85A","1,043.78A","1,038.65A","1,049.61A","1,042.21A","1,039.15A","1,051.54A","1,057.39B","1,058.04B","1,064.25B","1,082.46B","1,063.42B","1,071.81B","1,070.61B","1,129.47B","1,164.95B","1,152.56B","1,140.38B","1,143.03B","1,142.54B","1,133.96B","1,151.20B","1,168.30B","1,174.12B","1,189.61B","1,171.48B","1,163.33B","1,174.65B","1,155.69B","1,154.34B"
"Goods producing industries  [11-33N] 9","1,227.92A","1,248.72A","1,244.89A","1,234.09A","1,237.37A","1,224.06A","1,230.85A","1,261.43A","1,266.00B","1,277.60B","1,270.37B","1,298.79A","1,276.05A","1,275.31B","1,246.94B","1,254.94B","1,247.00B","1,260.20B","1,274.11B","1,279.50B","1,298.79B","1,283.85B","1,315.60B","1,330.04B","1,297.46B","1,309.59B","1,307.07B","1,287.37B","1,289.67B","1,296.44B","1,309.87B"
"Forestry, logging and support  [11N] 10","1,195.20A","1,196.66B","1,176.54A","1,032.30B","1,164.02B","1,190.15A","1,167.73A","1,132.77A","1,165.78B","1,158.08E","1,181.10B","1,227.17B","1,225.56B","1,169.67C","1,067.10B","1,039.31B","1,170.93B","1,024.07B","996.77B","1,105.98A","1,164.22D","1,137.17B","1,113.40B","1,275.23B","1,151.48B","1,267.90B","1,197.06C","1,212.63C","1,135.92E","1,137.47C","1,018.26B"
"Mining, quarrying, and oil and gas extraction  [21]","1,985.85B","2,095.75A","1,986.32B","2,017.49A","2,030.64B","1,770.40B","1,801.82B","1,673.17A","1,729.38C","1,825.17B","1,946.94B","1,929.57C","1,976.86C","2,059.68B","2,149.80B","1,878.97C","1,911.79B","2,015.81B","1,806.28C","1,910.11B","1,830.79C","1,800.90B","1,883.98B","1,739.94B","1,778.06B","1,937.04B","1,982.36B","1,897.09B","1,921.44B","1,817.35C","1,986.88B"
"Utilities  [22,221]","1,904.64A","1,916.41A","1,965.82B","1,932.58B","2,017.09B","2,010.61A","1,980.90A","1,966.59A","1,983.64C","2,063.03B","2,053.16B","2,145.94B","2,178.90B","2,121.16C","2,147.83B","2,019.01C","1,926.37C","2,062.04C","1,791.57B","1,893.54A","1,842.88A","1,923.48A","1,997.09A","1,875.96A","1,975.83B","1,884.88A","1,857.74B","1,901.34B","1,940.37B","1,935.87A","2,018.04A"
