Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019 YTD Actual,3859,7383,12034,16074,20308,23881,27652,31201,34883,38724,41516,45776
2020 YTD Actual,4124,7790,10431,11470,14211,15423,18853,24809,29898,33797,36095,39075
2021 YTD Actual,3400,6386,9245,11913,15254,18856,,,,,,
