Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019 YTD Actual,677,1316,2111,2901,3707,4441,5209,5819,6456,7244,7907,8571
2020 YTD Actual,706,1253,1626,1626,1645,1707,1875,2200,2612,2978,3305,3609
2021 YTD Actual,294,558,948,1239,1563,1887,,,,,,
