Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019 Actual,35.59,35.04,35.47,31.03,35.95,36.41,35.90,36.28,36.50,32.16,35.34,36.26
2020 Actual,35.76,35.22,35.20,35.93,37.34,36.54,36.26,35.66,36.21,34.63,35.81,36.63
2021 Actual,36.42,34.47,36.17,36.16,36.75,36.63,,,,,,
