Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019 YTD Actual,1422,3301,5846,9080,12795,15996,19106,21659,24654,27949,30667,32340
2020 YTD Actual,1603,4080,6851,7887,9378,12208,15785,19150,22705,26219,29251,31964
2021 YTD Actual,2665,6406,11536,16230,20348,24198,,,,,,
