Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019 YTD Actual,60,103,176,247,315,360,414,464,514,561,614,652
2020 YTD Actual,46,101,145,182,237,279,328,370,408,454,490,536
2021 YTD Actual,36,68,93,128,163,196,,,,,,
