Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019 Actual,20680,21110,22370,17560,15720,15140,22700,23400,14450,14340,15270,17600
2020 Actual,21380,21450,27220,27340,21830,15750,12370,8900,5650,86940,90480,104580
2021 Actual,119670,123890,112800,120680,118170,105540,,,,,,
