Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019 Actual,1383,1389,1393,1412,1421,1426,1435,1426,1426,1417,1411,1405
2020 Actual,1406,1419,1405,1351,1278,1255,1260,1279,1284,1298,1320,1333
2021 Actual,1345,1348,1365,1369,1364,1348,,,,,,
